Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
 1.390000e+03	 1.44302659e+00	 3.18507363e-01	-5.72825109e+02	 5.00000000e-01	 4.0743e+03	 9.1263e+15	-1.0000e+16
 1.400000e+03	 1.44296931e+00	 3.18450081e-01	-5.86417026e+02	 5.00000000e-01	 4.0833e+03	 9.1061e+15	-1.0000e+16
 1.410000e+03	 1.44291067e+00	 3.18391439e-01	-6.00322684e+02	 5.00000000e-01	 4.0926e+03	 9.0855e+15	-1.0000e+16
 1.420000e+03	 1.44285064e+00	 3.18331407e-01	-6.14548786e+02	 5.00000000e-01	 4.1021e+03	 9.0644e+15	-1.0000e+16
 1.430000e+03	 1.44278918e+00	 3.18269952e-01	-6.29102156e+02	 5.00000000e-01	 4.1118e+03	 9.0429e+15	-1.0000e+16
 1.440000e+03	 1.44272627e+00	 3.18207042e-01	-6.43989739e+02	 5.00000000e-01	 4.1219e+03	 9.0209e+15	-1.0000e+16
 1.450000e+03	 1.44266187e+00	 3.18142643e-01	-6.59218603e+02	 5.00000000e-01	 4.1321e+03	 8.9985e+15	-1.0000e+16
 1.460000e+03	 1.44259595e+00	 3.18076721e-01	-6.74795939e+02	 5.00000000e-01	 4.1427e+03	 8.9756e+15	-1.0000e+16
 1.470000e+03	 1.44252847e+00	 3.18009241e-01	-6.90729062e+02	 5.00000000e-01	 4.1535e+03	 8.9522e+15	-1.0000e+16
 1.480000e+03	 1.44245940e+00	 3.17940168e-01	-7.07025413e+02	 5.00000000e-01	 4.1646e+03	 8.9283e+15	-1.0000e+16
 1.490000e+03	 1.44238870e+00	 3.17869466e-01	-7.23692557e+02	 5.00000000e-01	 4.1760e+03	 8.9039e+15	-1.0000e+16
 1.500000e+03	 1.44231633e+00	 3.17797097e-01	-7.40738187e+02	 5.00000000e-01	 4.1877e+03	 8.8790e+15	-1.0000e+16
 1.510000e+03	 1.44224225e+00	 3.17723023e-01	-7.58170121e+02	 5.00000000e-01	 4.1998e+03	 8.8536e+15	-1.0000e+16
 1.520000e+03	 1.44216644e+00	 3.17647206e-01	-7.75996306e+02	 5.00000000e-01	 4.2121e+03	 8.8277e+15	-1.0000e+16
 1.530000e+03	 1.44208884e+00	 3.17569606e-01	-7.94224817e+02	 5.00000000e-01	 4.2248e+03	 8.8012e+15	-1.0000e+16
 1.540000e+03	 1.44200941e+00	 3.17490184e-01	-8.12863854e+02	 5.00000000e-01	 4.2378e+03	 8.7742e+15	-1.0000e+16
 1.550000e+03	 1.44192813e+00	 3.17408897e-01	-8.31921749e+02	 5.00000000e-01	 4.2511e+03	 8.7467e+15	-1.0000e+16
 1.560000e+03	 1.44184494e+00	 3.17325705e-01	-8.51406961e+02	 5.00000000e-01	 4.2648e+03	 8.7186e+15	-1.0000e+16
 1.570000e+03	 1.44175980e+00	 3.17240564e-01	-8.71328076e+02	 5.00000000e-01	 4.2789e+03	 8.6899e+15	-1.0000e+16
 1.580000e+03	 1.44167266e+00	 3.17153432e-01	-8.91693810e+02	 5.00000000e-01	 4.2933e+03	 8.6607e+15	-1.0000e+16
 1.590000e+03	 1.44158349e+00	 3.17064262e-01	-9.12513006e+02	 5.00000000e-01	 4.3082e+03	 8.6309e+15	-1.0000e+16
 1.600000e+03	 1.44149224e+00	 3.16973011e-01	-9.33794635e+02	 5.00000000e-01	 4.3234e+03	 8.6004e+15	-1.0000e+16
 1.610000e+03	 1.44139886e+00	 3.16879631e-01	-9.55547796e+02	 5.00000000e-01	 4.3390e+03	 8.5694e+15	-1.0000e+16
