Index,SMU-1 Time (s),SMU-1 Voltage (V),SMU-1 Current (A)
175,90.684829,3.02842140197754,0.000233116399613209
176,91.201535,2.98262357711792,0.000119410520710517
177,91.735334,2.93683290481567,5.7117020332953E-05
178,92.25204,2.89076328277588,2.75734182650922E-05
179,92.768746,2.84496784210205,1.52631273522275E-05
180,93.302734,2.79910564422607,9.87628573057009E-06
181,93.81944,2.75329828262329,6.97886207490228E-06
182,94.336146,2.70748853683472,5.03254386785557E-06
183,94.852852,2.66167163848877,3.58142006007256E-06
184,95.369558,2.61561155319214,2.47017487708945E-06
185,95.886264,2.56980657577515,1.64252276135812E-06
186,96.40297,2.52394199371338,1.04526043287478E-06
187,96.936951,2.47810125350952,6.35913863789028E-07
188,97.453657,2.43232488632202,3.71698973822276E-07
189,97.970363,2.38614797592163,2.09102040571452E-07
190,98.487069,2.34029293060303,1.14880918999916E-07
191,99.065751,2.29444026947021,6.15407245163624E-08
192,99.582457,2.24873542785645,3.23888897924007E-08
193,100.099163,2.20291137695313,1.67272933282447E-08
194,100.677853,2.15675592422485,8.53963033620175E-09
195,101.194559,2.11095571517944,4.35669056386701E-09
196,101.711265,2.06508636474609,2.21810703138203E-09
197,102.227971,2.01923370361328,1.12933995488618E-09
198,103.261651,1.97262454032898,5.59803703392703E-10
199,103.778357,1.9267520904541,2.95376528791635E-10
200,104.295063,1.88090920448303,1.4922904578718E-10
201,105.328747,1.83502531051636,7.48102552128316E-11
202,105.845453,1.78917908668518,3.63649006740463E-11
203,106.362159,1.74330234527588,1.70768971879953E-11
204,106.878865,1.69742870330811,7.34885936826135E-12
205,107.395571,1.65158104896545,2.43415834363936E-12
206,107.912277,1.60570096969604,-1.59740450627119E-15
207,108.428983,1.55981969833374,-1.27925870851281E-12
208,108.945689,1.51395654678345,-1.92259554630814E-12
209,109.462395,1.46807861328125,-2.01628210655391E-12
210,109.979108,1.42222952842712,-2.41262912425988E-12
211,110.495814,1.37633562088013,-2.47156613751576E-12
212,111.012521,1.33045101165771,-3.05815941147036E-12
213,111.529227,1.28460049629211,-2.60908612423338E-12
214,112.045933,1.23871374130249,-2.36746082807326E-12
215,112.562639,1.19286108016968,-2.50296593347354E-12
216,113.079345,1.14697241783142,-2.65750897850137E-12
217,113.596051,1.10109210014343,-2.53794186187706E-12
218,114.112757,1.05523610115051,-2.46021757653592E-12
219,114.629463,1.00934386253357,-2.45574719413832E-12
220,115.146169,0.963454246520996,-2.40744360210932E-12
221,115.662875,0.917601585388184,-2.45543711231699E-12
222,116.179581,0.871712684631348,-2.45181327497568E-12
223,116.696286,0.825870275497437,-2.35960491597187E-12
224,117.212999,0.779975175857544,-2.43381269998677E-12
225,117.729705,0.734092950820923,-2.62407066561887E-12
226,118.246411,0.688258647918701,-2.63776782534475E-12
227,118.763117,0.642358303070068,-3.19098241753635E-12
228,119.279823,0.596501111984253,-2.77963871538056E-12
229,119.796529,0.550615310668945,-2.05767152448855E-12
230,120.313235,0.504728317260742,-2.81498435672489E-12
231,120.829942,0.4588623046875,-2.17076552046225E-12
232,121.346648,0.412976503372192,-2.5177837245649E-12
233,121.863355,0.367090463638306,-2.58809336808885E-12
234,122.380061,0.321221351623535,-3.14308410027941E-12
235,122.896767,0.27533483505249,-2.40187644079404E-12
236,123.413473,0.229470252990723,-2.43806841035421E-12
237,123.930179,0.183547288179398,-2.50854502101272E-12
238,124.446885,0.137674599885941,-2.71099809268094E-12
239,124.963592,0.0917929410934448,-2.84748071475993E-12
240,125.480298,0.0459198467433453,-2.12241422353765E-12
241,125.997004,3.15666220558342E-05,-1.1380315093068E-12
