[0, 0, 0]
V_CE_1 (1)	I_C_1 (1)	V_BE_2 (1)	I_B_2 (1)	V_CE_1 (2)	I_C_1 (2)	V_BE_2 (2)	I_B_2 (2)	V_CE_1 (3)	I_C_1 (3)	V_BE_2 (3)	I_B_2 (3)	V_CE_1 (4)	I_C_1 (4)	V_BE_2 (4)	I_B_2 (4)	V_CE_1 (5)	I_C_1 (5)	V_BE_2 (5)	I_B_2 (5)
+2.550212E+00	+1.031982E-05	+5.531229E-01	-7.853592E-08	+2.599995E+00	+6.557386E-02	+7.928770E-01	+5.005976E-04	+2.599976E+00	+8.386031E-02	+8.064903E-01	+1.000385E-03	+2.599591E+00	+9.665181E-02	+8.141622E-01	+1.499932E-03	+2.599170E+00	+1.073985E-01	+8.197191E-01	+2.000418E-03
+2.651548E+00	+8.796195E-06	+5.518159E-01	+2.183521E-08	+2.649998E+00	+6.595635E-02	+7.920895E-01	+4.993398E-04	+2.649563E+00	+8.427851E-02	+8.056770E-01	+9.999332E-04	+2.649494E+00	+9.707312E-02	+8.138769E-01	+1.500143E-03	+2.649229E+00	+1.077533E-01	+8.191753E-01	+2.001033E-03
+2.697543E+00	+8.844895E-06	+5.512986E-01	-5.301814E-07	+2.699540E+00	+6.632837E-02	+7.917572E-01	+5.002427E-04	+2.698512E+00	+8.468447E-02	+8.053344E-01	+1.000119E-03	+2.699598E+00	+9.747729E-02	+8.129561E-01	+1.500362E-03	+2.698373E+00	+1.081500E-01	+8.182746E-01	+2.000798E-03
+2.749541E+00	+1.017585E-05	+5.542089E-01	+2.727691E-07	+2.748615E+00	+6.669225E-02	+7.912578E-01	+5.002571E-04	+2.749844E+00	+8.509780E-02	+8.047682E-01	+1.000628E-03	+2.750183E+00	+9.789333E-02	+8.123801E-01	+1.500297E-03	+2.748934E+00	+1.085590E-01	+8.178199E-01	+2.000732E-03
+2.799622E+00	+1.090165E-05	+5.561442E-01	+1.025526E-06	+2.799705E+00	+6.706014E-02	+7.905695E-01	+5.001029E-04	+2.800308E+00	+8.550080E-02	+8.042044E-01	+9.999117E-04	+2.799262E+00	+9.827366E-02	+8.115944E-01	+1.499777E-03	+2.798737E+00	+1.090083E-01	+8.168826E-01	+1.999751E-03
+2.849303E+00	+1.050681E-05	+5.545171E-01	+1.723919E-07	+2.850334E+00	+6.742716E-02	+7.901447E-01	+5.005723E-04	+2.849848E+00	+8.588850E-02	+8.034386E-01	+1.000184E-03	+2.849767E+00	+9.866925E-02	+8.108952E-01	+1.499566E-03	+2.849041E+00	+1.090587E-01	+8.164768E-01	+2.001371E-03
+2.899932E+00	+1.081519E-05	+5.555528E-01	+3.229701E-07	+2.898293E+00	+6.776324E-02	+7.896560E-01	+5.002033E-04	+2.899992E+00	+8.627322E-02	+8.030428E-01	+1.000391E-03	+2.899630E+00	+9.905336E-02	+8.103288E-01	+1.499778E-03	+2.899247E+00	+1.096669E-01	+8.156145E-01	+1.999845E-03
+2.950381E+00	+1.064248E-05	+5.554707E-01	-8.312055E-07	+2.949788E+00	+6.811188E-02	+7.888629E-01	+5.012070E-04	+2.950498E+00	+8.665976E-02	+8.022111E-01	+1.000256E-03	+2.950217E+00	+9.943113E-02	+8.097789E-01	+1.500351E-03	+2.949066E+00	+1.101170E-01	+8.150791E-01	+2.000883E-03
+2.999450E+00	+1.123268E-05	+5.568441E-01	+2.225861E-07	+2.999471E+00	+6.845096E-02	+7.883280E-01	+5.006085E-04	+2.999508E+00	+8.702516E-02	+8.016705E-01	+1.000270E-03	+2.999975E+00	+9.979758E-02	+8.089998E-01	+1.500064E-03	+2.998543E+00	+1.102169E-01	+8.143414E-01	+2.000074E-03
+3.050454E+00	+9.346571E-06	+5.516524E-01	+7.746428E-07	+3.050359E+00	+6.878661E-02	+7.877700E-01	+5.002104E-04	+3.050411E+00	+8.740067E-02	+8.008789E-01	+1.000033E-03	+3.050187E+00	+1.001675E-01	+8.085022E-01	+1.500104E-03	+3.049986E+00	+1.108259E-01	+8.135081E-01	+2.000225E-03
+3.098222E+00	+8.502268E-06	+5.512760E-01	-8.313410E-07	+3.099756E+00	+6.911670E-02	+7.872010E-01	+5.003001E-04	+3.099913E+00	+8.774932E-02	+8.004956E-01	+1.000219E-03	+3.099542E+00	+1.005169E-01	+8.073348E-01	+1.499057E-03	+3.099038E+00	+1.111264E-01	+8.128359E-01	+2.000897E-03
+3.151393E+00	+8.918220E-06	+5.517312E-01	+1.222078E-07	+3.150419E+00	+6.944370E-02	+7.864835E-01	+4.998701E-04	+3.150319E+00	+8.811681E-02	+7.994251E-01	+9.994961E-04	+3.149938E+00	+1.008786E-01	+8.069549E-01	+1.500082E-03	+3.149153E+00	+1.116772E-01	+8.120241E-01	+2.000303E-03
+3.199517E+00	+8.888917E-06	+5.520772E-01	+3.229679E-07	+3.199119E+00	+6.975120E-02	+7.861814E-01	+5.005364E-04	+3.200131E+00	+8.846152E-02	+7.989113E-01	+1.000033E-03	+3.199077E+00	+1.012132E-01	+8.061446E-01	+1.499900E-03	+3.199998E+00	+1.116820E-01	+8.110373E-01	+2.000447E-03
+3.247885E+00	+8.808437E-06	+5.521091E-01	-2.839911E-08	+3.250312E+00	+7.007468E-02	+7.854242E-01	+4.999990E-04	+3.250234E+00	+8.880825E-02	+7.981080E-01	+9.995314E-04	+3.249847E+00	+1.015545E-01	+8.055495E-01	+1.500484E-03	+3.249986E+00	+1.121815E-01	+8.104361E-01	+2.000596E-03
+3.297492E+00	+9.046023E-06	+5.511856E-01	-4.800320E-07	+3.298947E+00	+7.037809E-02	+7.848332E-01	+5.002571E-04	+3.299011E+00	+8.913666E-02	+7.976251E-01	+1.000119E-03	+3.299390E+00	+1.018856E-01	+8.046778E-01	+1.500906E-03	+3.299757E+00	+1.126875E-01	+8.097744E-01	+2.001479E-03
+3.349136E+00	+8.775693E-06	+5.517514E-01	-2.835969E-08	+3.349688E+00	+7.068799E-02	+7.842168E-01	+5.010777E-04	+3.349641E+00	+8.947594E-02	+7.969115E-01	+1.000621E-03	+3.350567E+00	+1.022258E-01	+8.038660E-01	+1.500075E-03	+3.349131E+00	+1.125860E-01	+8.090114E-01	+2.000826E-03
+3.401231E+00	+9.141137E-06	+5.511813E-01	+1.025520E-06	+3.400239E+00	+7.098635E-02	+7.835296E-01	+5.002281E-04	+3.399687E+00	+8.980383E-02	+7.960721E-01	+1.000600E-03	+3.399788E+00	+1.025491E-01	+8.029210E-01	+1.499828E-03	+3.399663E+00	+1.131911E-01	+8.082134E-01	+2.000811E-03
+3.449973E+00	+9.556216E-06	+5.533535E-01	+1.222085E-07	+3.450325E+00	+7.127408E-02	+7.824394E-01	+4.995440E-04	+3.450347E+00	+9.012961E-02	+7.953107E-01	+1.000414E-03	+3.449919E+00	+1.028679E-01	+8.024175E-01	+1.500608E-03	+3.449661E+00	+1.133990E-01	+8.071730E-01	+2.001300E-03
+3.498536E+00	+1.079666E-05	+5.547674E-01	-1.789013E-07	+3.499218E+00	+7.155575E-02	+7.820246E-01	+5.000887E-04	+3.498915E+00	+9.043474E-02	+7.945756E-01	+1.000098E-03	+3.499695E+00	+1.031725E-01	+8.015757E-01	+1.499727E-03	+3.499418E+00	+1.138441E-01	+8.064243E-01	+2.000733E-03
