Optical Power Monitor 4.0.4100.700

Power Meter;PM100USB
Power Meter SN;P2008717
Sensor;S120VC
Sensor SN;17072805
Sensor Type;Photodiode
Wavelength;518 nm
Range;Auto

Start of Measurement;10/29/2024 19:52:46
Elapsed Time;00:02:04:999
Samples;36237

--Statistics--
Minimum [W];6,414E-08
Maximum [W];0,007128
Mean [W];0,00048687
Standard Deviation [W];0,0013986
Ratio;111131,899 : 1

--Graph Data--
Time (ms);Power (W)
4328,663;2,2191E-07
4331,322;2,2594E-07
4334,091;2,1847E-07
4337,060;2,0541E-07
4339,667;2,0144E-07
4342,340;2,0869E-07
4344,985;2,2006E-07
4347,662;2,2534E-07
4350,376;2,193E-07
4352,985;2,0764E-07
4355,659;2,0058E-07
4358,329;2,0526E-07
4361,011;2,1628E-07
4363,671;2,2451E-07
4366,344;2,2134E-07
4368,989;2,1043E-07
4371,658;2,0054E-07
4374,331;2,0209E-07
4376,970;2,1258E-07
4379,654;2,2311E-07
4382,326;2,2247E-07
4384,973;2,1232E-07
4387,653;2,0122E-07
4390,341;2,002E-07
4392,968;2,0899E-07
4395,656;2,2032E-07
4398,342;2,2289E-07
4401,000;2,1443E-07
4403,658;2,0277E-07
4406,341;1,9869E-07
4409,005;2,0556E-07
4411,665;2,1704E-07
4414,299;2,2247E-07
4416,985;2,1651E-07
4419,660;2,0473E-07
4422,320;1,9767E-07
4425,040;2,0197E-07
4427,665;2,1296E-07
4430,329;2,2138E-07
4432,984;2,1832E-07
4435,636;2,0722E-07
4438,328;1,9725E-07
4440,974;1,9876E-07
4443,657;2,0915E-07
4446,299;2,1975E-07
4449,025;2,1911E-07
4451,978;2,0786E-07
4454,656;1,9691E-07
4457,299;1,9729E-07
4459,973;2,0684E-07
4462,659;2,1798E-07
4465,331;2,1877E-07
4467,978;2,0956E-07
4470,661;1,9835E-07
4473,283;1,9537E-07
4475,971;2,0329E-07
4478,661;2,1466E-07
4481,290;2,1862E-07
4483,983;2,1122E-07
4486,663;1,9986E-07
4489,286;1,9401E-07
4491,968;1,9982E-07
4494,662;2,1081E-07
